pref,county,muni,1,2,3,4,5,6,7,8,9,10,11,12
北海道,札幌市,札幌市,88.00944868702479,111.10159812026892,149.1160788123373,147.56866935927647,138.93953576584084,109.87386229036184,123.50656297916005,114.75754297095548,87.62427551597386,104.32060841481874,74.99881547277108,82.18265207060233
北海道,,函館市,74.7872074166453,101.71157919110915,139.59890468687124,143.6472444579873,131.58266837406987,124.58348252999205,110.72632396219781,108.48436409766862,88.86557723413017,98.72356175769742,79.3973493809621,83.1455063573503
北海道,,小樽市,73.59878850687751,97.45901025192552,143.74977000983722,152.9323460005505,142.19092213182302,112.63797627180202,130.85183217816947,117.45968670260321,93.85166585833923,104.53590681140288,67.47059898694832,70.82428219787596
北海道,,旭川市,87.63905923814205,106.86498995345944,140.20529393490466,129.6699618215147,129.82442785139406,100.76067558943001,122.53092669652426,106.6557605760558,91.20233770068704,91.74401671330061,65.94716463338288,71.18577748712117
北海道,,室蘭市,87.87052667409553,105.61664536549438,141.2202024541179,145.30374348992603,131.7916879000687,116.8489213575269,110.82236934161126,106.25119984683239,83.27797892525827,102.48502112137521,83.37809296322283,91.14231126498066
北海道,,釧路市,106.73807704097,123.80608620097986,138.70312705208744,123.43224476655938,135.14337929128058,95.83185025348186,103.12973889382094,104.18774254991443,78.72923140956718,100.60506787325886,88.48179437647157,105.7750981941951
北海道,,帯広市,114.54625171502313,123.6425797047053,147.61948851146417,127.61503842093263,139.91348235553366,102.53596520837854,104.64683172707937,107.31234675762336,72.26217094769788,103.51395653534446,91.62572821042512,106.63760289433189
北海道,,北見市,93.73335578227234,115.38855706827017,138.3941293161242,125.95896944811687,137.559726472794,102.65360819826903,111.69080324642552,111.33626075172,90.44971063199726,101.87343692361918,78.23538548577964,88.3671526359522
北海道,,夕張市,91.88760451760577,115.02376285432044,140.5138507720845,133.74651883856146,137.06606671018486,110.85819055459258,117.4316623007564,111.55698745932808,86.7055837090664,99.10682075079197,73.8597283483985,79.10714777943808
北海道,,岩見沢市,88.53749979219441,113.11281112009551,142.67027685026972,136.40583201118878,136.48989194254813,107.40511059724429,123.2251007772591,113.22879350917434,88.56234815040844,98.34161245940608,69.83387213832421,77.11786989056897
北海道,,網走市,84.79078808118275,117.11038770620407,146.9072899509613,129.7718924304584,138.70166950665546,106.11110369660902,116.77646196705014,113.29893903283576,96.58069707862386,101.27719282633109,76.44628735770314,88.10876340936187
北海道,,留萌市,79.48680037140458,99.25089573729441,144.69378142262954,142.11012858068088,135.84895049323652,109.50026644542973,136.4282389566249,112.31491143431687,98.28586923951899,97.11922535129622,61.47272411058794,66.95879990071803
北海道,,苫小牧市,92.07995688498491,111.77096624878058,143.26485095359075,142.90419728792816,138.6072240928533,113.81156139746923,119.17001615344661,113.2678481287329,86.38734745025408,105.00880578378451,78.89752205765328,86.80823697875026
北海道,,稚内市,78.07976742132406,98.3615765029419,143.82195464884254,147.01541319615345,145.65273507205154,110.83546487763438,141.8375780804948,101.71709382079703,103.32828828663331,105.69709773474119,62.68642325987329,67.83109506926793
北海道,,美唄市,90.07284620507265,112.36246625436225,142.3434298330781,132.93973737165197,135.61356914472287,107.49034621564279,120.45157380013796,111.07886083658546,87.76245447641202,96.2368392154482,70.45494482281536,75.81384524624447
北海道,,芦別市,92.61198676361673,112.5048366049296,143.9878633411096,129.6078292588439,132.29017420167148,102.86657819938702,119.52454520372642,107.70234137411214,87.70719859561298,93.1215066410108,70.03473802772704,75.96224259085184
北海道,,江別市,89.28458473511078,114.28126650915603,146.21194611073696,141.05222266082944,138.56862895257572,109.8393068901238,121.9275852233276,114.28490968138468,86.91032864803347,102.88020886456066,73.79701277222298,80.8977251593849
北海道,,赤平市,87.358883739278,108.61810263860482,140.7525652263814,131.96496141172992,132.74548166956131,104.14159663964146,122.99553097955786,109.24573431313321,89.77339661017692,93.67729596634763,67.16297602480128,72.80159020411983
北海道,,紋別市,89.58025297092242,109.1144756621786,143.9094867822528,138.1795048476349,137.6731414370814,109.67329319382907,126.31576591204039,117.29529707809797,100.12743134594866,103.06799442449392,71.79630368826464,77.06281825195074
北海道,,士別市,86.51947111305289,104.77374463834055,140.4681377548862,130.6197455319324,129.73620796181845,99.30274731514315,122.56803916502899,106.39452739230883,92.46067171978731,92.90997280032076,65.32932627436566,68.65839944705874
北海道,,名寄市,84.38943010051725,103.2791186273763,142.8246526450682,134.1958651619372,129.44066259899668,96.30035145181266,123.24442196928158,104.2874260648506,92.01231695355158,93.02108947806113,62.36583969838465,67.36867723297878
北海道,,三笠市,90.07284620507265,112.36246625436225,142.3434298330781,132.93973737165197,135.61356914472287,107.49034621564279,120.45157380013796,111.07886083658546,87.76245447641202,96.2368392154482,70.45494482281536,75.81384524624447
北海道,,根室市,94.47314496195276,119.21048471221013,135.73974501645753,141.86317902780203,144.68020161384976,113.42181970114014,113.91210626260974,110.33857992704041,92.48451655504874,108.60886476266145,84.79633387776248,99.69457052810935
北海道,,千歳市,92.07995688498491,111.77096624878058,143.26485095359075,142.90419728792816,138.6072240928533,113.81156139746923,119.17001615344661,113.2678481287329,86.38734745025408,105.00880578378451,78.89752205765328,86.80823697875026
北海道,,滝川市,87.358883739278,108.61810263860482,140.7525652263814,131.96496141172992,132.74548166956131,104.14159663964146,122.99553097955786,109.24573431313321,89.77339661017692,93.67729596634763,67.16297602480128,72.80159020411983
北海道,,砂川市,87.358883739278,108.61810263860482,140.7525652263814,131.96496141172992,132.74548166956131,104.14159663964146,122.99553097955786,109.24573431313321,89.77339661017692,93.67729596634763,67.16297602480128,72.80159020411983
