pref,muni,2022.4,2022.5,2022.6,2022.7,2022.8,2022.9,2022.10,2022.11,2022.12,2023.1,2023.2,2023.3,total
北海道,札幌市,723748.0,632649.0,562211.0,640183.0,645979.0,608037.0,599922.0,668017.0,821405.0,1006851.0,883062.0,776410.0,8568474.0
北海道,函館市,98460.0,89339.0,81099.0,90778.0,94381.0,89257.0,86738.0,91288.0,110247.0,133169.0,115732.0,101347.0,1181835.0
北海道,小樽市,54153.0,48096.0,44789.0,50551.0,51109.0,48540.0,48103.0,51421.0,63484.0,78828.0,70627.0,62297.0,671998.0
北海道,旭川市,127406.0,113662.0,98758.0,116615.0,116257.0,104956.0,106801.0,117882.0,140285.0,174670.0,152052.0,136100.0,1505444.0
北海道,室蘭市,75154.0,76617.0,57495.0,58308.0,63411.0,60194.0,79608.0,85474.0,78659.0,89963.0,73536.0,68943.0,867362.0
北海道,釧路市,77690.0,68735.0,62026.0,65934.0,64753.0,64529.0,66442.0,73803.0,78193.0,95965.0,84649.0,77138.0,879857.0
北海道,帯広市,72184.0,63972.0,57906.0,65705.0,64662.0,64869.0,62368.0,68731.0,80950.0,98913.0,85180.0,75793.0,861233.0
北海道,北見市,47653.0,41432.0,36944.0,41080.0,43032.0,40289.0,41035.0,45862.0,54052.0,67603.0,58534.0,51228.0,568744.0
北海道,夕張市,3314.0,3133.0,2718.0,2983.0,2951.0,2871.0,2836.0,3100.0,3839.0,4846.0,4335.0,3834.0,40760.0
北海道,岩見沢市,32368.0,30458.0,28148.0,31410.0,30914.0,28479.0,28336.0,30492.0,36399.0,44043.0,38640.0,34608.0,394295.0
北海道,網走市,18857.0,16476.0,15311.0,16874.0,17967.0,17418.0,16756.0,17095.0,20388.0,26015.0,23564.0,20768.0,227489.0
北海道,留萌市,8105.0,6979.0,6218.0,6927.0,6970.0,6493.0,6535.0,7242.0,8552.0,10604.0,9361.0,8386.0,92372.0
北海道,苫小牧市,132643.0,125085.0,124625.0,127223.0,118042.0,115674.0,116231.0,130653.0,122644.0,129688.0,121174.0,126633.0,1490315.0
北海道,稚内市,17044.0,15706.0,14560.0,15682.0,16184.0,15718.0,15241.0,15605.0,18674.0,22361.0,19452.0,17626.0,203853.0
北海道,美唄市,7103.0,7454.0,6808.0,7736.0,7544.0,6636.0,6625.0,6794.0,8299.0,9970.0,8640.0,7565.0,91174.0
北海道,芦別市,6131.0,5730.0,5447.0,5801.0,5776.0,5446.0,5543.0,5805.0,6295.0,7293.0,6734.0,6614.0,72615.0
北海道,江別市,45564.0,41810.0,36355.0,41099.0,41437.0,37071.0,37306.0,41009.0,47258.0,58974.0,49997.0,46496.0,524376.0
北海道,赤平市,5821.0,5476.0,5087.0,5590.0,5553.0,5118.0,5218.0,5560.0,6183.0,6837.0,6254.0,5876.0,68573.0
北海道,紋別市,13623.0,12000.0,11329.0,12045.0,12522.0,11996.0,11723.0,11741.0,13581.0,16662.0,14950.0,13853.0,156025.0
北海道,士別市,8358.0,7171.0,6233.0,7006.0,7040.0,7002.0,7803.0,8207.0,9652.0,11313.0,9794.0,8688.0,98267.0
北海道,名寄市,11812.0,10290.0,8972.0,9785.0,9966.0,9369.0,10031.0,11012.0,12927.0,15614.0,13468.0,12234.0,135480.0
北海道,三笠市,3834.0,3437.0,3144.0,3426.0,3462.0,3263.0,3281.0,3529.0,4077.0,4699.0,4136.0,3897.0,44185.0
北海道,根室市,12936.0,12186.0,11549.0,12261.0,12464.0,12996.0,12482.0,12130.0,12532.0,14784.0,13375.0,12678.0,152373.0
北海道,千歳市,67770.0,62218.0,60163.0,66902.0,65948.0,62833.0,61077.0,65023.0,74864.0,84125.0,75664.0,71742.0,818329.0
北海道,滝川市,14055.0,12434.0,10545.0,12072.0,11738.0,11004.0,11235.0,12481.0,15631.0,19832.0,17168.0,15319.0,163514.0
北海道,砂川市,9843.0,9280.0,7777.0,8555.0,8656.0,7686.0,7845.0,8479.0,10225.0,11962.0,11080.0,10771.0,112159.0
北海道,歌志内市,1098.0,870.0,757.0,830.0,851.0,805.0,860.0,909.0,1065.0,1770.0,1566.0,1401.0,12782.0
北海道,深川市,8732.0,8414.0,7130.0,7940.0,7729.0,7206.0,7764.0,8128.0,9862.0,12344.0,10762.0,9401.0,105412.0
北海道,富良野市,10731.0,9371.0,8154.0,9733.0,10104.0,9380.0,9400.0,10175.0,12787.0,15797.0,13557.0,11972.0,131161.0
北海道,登別市,18308.0,16965.0,15064.0,16802.0,17236.0,16512.0,16129.0,17181.0,20272.0,24206.0,20867.0,18778.0,218320.0
北海道,恵庭市,34934.0,31896.0,29529.0,32585.0,32870.0,30958.0,30536.0,33061.0,38119.0,44001.0,38332.0,36528.0,413349.0
北海道,伊達市,15863.0,14491.0,12674.0,14943.0,15377.0,14242.0,12622.0,11991.0,14313.0,17742.0,15325.0,14771.0,174354.0
北海道,北広島市,26103.0,23391.0,21120.0,23888.0,23781.0,22152.0,22488.0,25553.0,30688.0,36033.0,31654.0,28896.0,315747.0
北海道,石狩市,32443.0,30185.0,29924.0,32799.0,34242.0,31370.0,31070.0,32559.0,36602.0,40607.0,35987.0,34370.0,402158.0
北海道,北斗市,27595.0,27130.0,21658.0,19405.0,20921.0,22916.0,22550.0,23495.0,25732.0,30319.0,22202.0,22713.0,286636.0
北海道,当別町,5895.0,6350.0,5508.0,6240.0,6133.0,5455.0,5536.0,5973.0,6754.0,7927.0,6884.0,6099.0,74754.0
