,札幌市,仙台市,さいたま市,千葉市,特別区部,横浜市,川崎市,相模原市,新潟市,静岡市,浜松市,名古屋市,京都市,大阪市,堺市,神戸市,岡山市,広島市,北九州市,福岡市,熊本市
2022-06-12 16:00:00,0.3796798994372389,0.37309222217123666,0.28035740865635866,0.29901771100591784,0.28372788331361165,0.25407991306910077,0.28557785242106254,0.22832376301741963,0.30188150864814883,0.20748855206672345,0.220213025177629,0.2201909072502765,0.2462736985223027,0.21828680926509278,0.2131761616685344,0.20438148170729378,0.24143941282604747,0.290369890124298,0.3739943489134734,0.2818674694000842,0.16177958641527596
2022-06-12 17:00:00,0.23672311619879605,0.2148783314379585,0.14025695630581791,0.14001708259711104,0.12350004899713285,0.08809069983535474,0.10527041137000222,0.0831331241473294,0.18380290110202457,0.146317402972732,0.0955008124509071,0.10444439817879009,0.15498592978750422,0.17251126508830408,0.16881372148952567,0.17329200323764438,0.1518210413655409,0.19782882942535607,0.22966481618059853,0.1456756010376621,0.10401426689918912
2022-06-12 18:00:00,0.07685473796072717,0.06405713176909908,0.03289340401916397,0.04963514037068517,0.03882311649879123,0.036688966704347334,0.043384011662228224,0.03415450337030693,0.062323737452408046,0.05987173555685442,0.05020083660251227,0.05175124764536109,0.06925283020379623,0.07218009816973883,0.07624361236640195,0.06962037167467383,0.05083438669777827,0.09583233240089753,0.07581252125613817,0.040597922987788804,0.009685097261474027
2022-06-12 19:00:00,0.015472365547865238,0.011277179446428719,0.00511676900972468,0.005282417773498865,0.00491530771491689,0.004838727347615106,0.0048638986615302734,0.005202213387523909,0.007299583238220149,0.007585488499701208,0.005683832350191537,0.007352660820882706,0.007901769934313818,0.006552291282745365,0.006597224937543934,0.0052761120562412386,0.005143795720532687,0.02171080686665641,0.015607446056133388,0.007422995550288015,0.0
2022-06-12 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-12 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-12 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-12 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
