address,pref,county,muni,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北海道奥尻郡奥尻町,北海道,奥尻郡,奥尻町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
北海道瀬棚郡今金町,北海道,瀬棚郡,今金町,7.0,9.0,10.0,11.0,14.0,19.0,19.0,21.0,22.0,24.0
北海道久遠郡せたな町,北海道,久遠郡,せたな町,24.0,28.0,32.0,37.0,38.0,41.0,43.0,45.0,46.0,47.0
北海道島牧郡島牧村,北海道,島牧郡,島牧村,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,7.0
北海道寿都郡寿都町,北海道,寿都郡,寿都町,4.0,6.0,6.0,6.0,8.0,8.0,9.0,10.0,10.0,11.0
北海道寿都郡黒松内町,北海道,寿都郡,黒松内町,3.0,8.0,8.0,10.0,12.0,12.0,12.0,13.0,15.0,15.0
北海道磯谷郡蘭越町,北海道,磯谷郡,蘭越町,10.0,11.0,11.0,13.0,13.0,17.0,17.0,22.0,24.0,27.0
北海道虻田郡ニセコ町,北海道,虻田郡,ニセコ町,7.0,9.0,9.0,11.0,12.0,14.0,14.0,15.0,15.0,15.0
北海道虻田郡真狩村,北海道,虻田郡,真狩村,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,11.0,12.0
北海道虻田郡留寿都村,北海道,虻田郡,留寿都村,6.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0
北海道虻田郡喜茂別町,北海道,虻田郡,喜茂別町,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
北海道虻田郡京極町,北海道,虻田郡,京極町,2.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,7.0,7.0
北海道虻田郡倶知安町,北海道,虻田郡,倶知安町,9.0,9.0,11.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0
北海道岩内郡共和町,北海道,岩内郡,共和町,31.0,35.0,36.0,39.0,45.0,47.0,50.0,52.0,52.0,55.0
北海道岩内郡岩内町,北海道,岩内郡,岩内町,22.0,25.0,28.0,28.0,30.0,31.0,36.0,40.0,43.0,45.0
北海道古宇郡泊村,北海道,古宇郡,泊村,1.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,7.0,7.0
北海道古宇郡神恵内村,北海道,古宇郡,神恵内村,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
北海道積丹郡積丹町,北海道,積丹郡,積丹町,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
北海道古平郡古平町,北海道,古平郡,古平町,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,7.0,8.0
北海道余市郡仁木町,北海道,余市郡,仁木町,9.0,9.0,9.0,13.0,19.0,19.0,23.0,25.0,29.0,35.0
北海道余市郡余市町,北海道,余市郡,余市町,46.0,53.0,58.0,61.0,69.0,75.0,79.0,84.0,99.0,111.0
北海道余市郡赤井川村,北海道,余市郡,赤井川村,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
北海道空知郡南幌町,北海道,空知郡,南幌町,62.0,72.0,74.0,76.0,79.0,81.0,86.0,95.0,110.0,151.0
北海道空知郡奈井江町,北海道,空知郡,奈井江町,10.0,11.0,12.0,16.0,17.0,23.0,25.0,30.0,35.0,39.0
北海道空知郡上砂川町,北海道,空知郡,上砂川町,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
北海道夕張郡由仁町,北海道,夕張郡,由仁町,39.0,56.0,76.0,85.0,93.0,93.0,94.0,95.0,99.0,104.0
北海道夕張郡長沼町,北海道,夕張郡,長沼町,146.0,157.0,162.0,164.0,170.0,172.0,178.0,189.0,196.0,201.0
北海道夕張郡栗山町,北海道,夕張郡,栗山町,107.0,126.0,143.0,151.0,154.0,160.0,163.0,168.0,171.0,182.0
北海道樺戸郡月形町,北海道,樺戸郡,月形町,15.0,16.0,16.0,16.0,17.0,19.0,19.0,21.0,22.0,23.0
北海道樺戸郡浦臼町,北海道,樺戸郡,浦臼町,4.0,5.0,5.0,8.0,9.0,9.0,9.0,11.0,12.0,12.0
北海道樺戸郡新十津川町,北海道,樺戸郡,新十津川町,26.0,31.0,32.0,33.0,37.0,42.0,44.0,49.0,57.0,64.0
北海道雨竜郡妹背牛町,北海道,雨竜郡,妹背牛町,10.0,11.0,12.0,13.0,14.0,16.0,16.0,17.0,20.0,24.0
北海道雨竜郡秩父別町,北海道,雨竜郡,秩父別町,9.0,10.0,12.0,13.0,14.0,19.0,19.0,21.0,22.0,22.0
北海道雨竜郡雨竜町,北海道,雨竜郡,雨竜町,7.0,7.0,8.0,9.0,11.0,12.0,12.0,13.0,14.0,15.0
北海道雨竜郡北竜町,北海道,雨竜郡,北竜町,4.0,4.0,5.0,7.0,7.0,7.0,11.0,11.0,11.0,13.0
北海道雨竜郡沼田町,北海道,雨竜郡,沼田町,2.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0
北海道上川郡鷹栖町,北海道,上川郡,鷹栖町,36.0,43.0,46.0,50.0,54.0,55.0,57.0,61.0,69.0,76.0
北海道上川郡東神楽町,北海道,上川郡,東神楽町,100.0,115.0,121.0,132.0,138.0,142.0,143.0,147.0,159.0,163.0
北海道上川郡当麻町,北海道,上川郡,当麻町,28.0,37.0,43.0,50.0,53.0,55.0,56.0,58.0,60.0,66.0
北海道上川郡比布町,北海道,上川郡,比布町,35.0,39.0,40.0,41.0,43.0,45.0,46.0,48.0,50.0,52.0
北海道上川郡愛別町,北海道,上川郡,愛別町,12.0,13.0,13.0,13.0,13.0,14.0,17.0,19.0,19.0,22.0
北海道上川郡上川町,北海道,上川郡,上川町,4.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,11.0
北海道上川郡東川町,北海道,上川郡,東川町,59.0,69.0,72.0,77.0,85.0,91.0,95.0,101.0,113.0,119.0
北海道上川郡美瑛町,北海道,上川郡,美瑛町,37.0,41.0,43.0,48.0,51.0,59.0,60.0,62.0,67.0,70.0
北海道空知郡上富良野町,北海道,空知郡,上富良野町,53.0,60.0,66.0,71.0,75.0,80.0,86.0,91.0,93.0,100.0
北海道空知郡中富良野町,北海道,空知郡,中富良野町,35.0,38.0,41.0,44.0,48.0,53.0,54.0,56.0,58.0,61.0
北海道空知郡南富良野町,北海道,空知郡,南富良野町,5.0,6.0,6.0,8.0,10.0,10.0,10.0,11.0,15.0,18.0
北海道勇払郡占冠村,北海道,勇払郡,占冠村,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0
北海道上川郡和寒町,北海道,上川郡,和寒町,53.0,53.0,53.0,53.0,53.0,55.0,56.0,56.0,56.0,57.0
北海道上川郡剣淵町,北海道,上川郡,剣淵町,60.0,61.0,63.0,64.0,65.0,67.0,70.0,70.0,70.0,70.0
北海道上川郡下川町,北海道,上川郡,下川町,7.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,11.0,13.0
北海道中川郡美深町,北海道,中川郡,美深町,6.0,8.0,16.0,16.0,17.0,18.0,19.0,21.0,22.0,24.0
北海道中川郡音威子府村,北海道,中川郡,音威子府村,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
北海道中川郡中川町,北海道,中川郡,中川町,1.0,1.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
北海道雨竜郡幌加内町,北海道,雨竜郡,幌加内町,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
北海道増毛郡増毛町,北海道,増毛郡,増毛町,1.0,1.0,3.0,3.0,4.0,7.0,8.0,9.0,10.0,11.0
北海道留萌郡小平町,北海道,留萌郡,小平町,4.0,4.0,4.0,4.0,5.0,7.0,9.0,10.0,13.0,13.0
北海道苫前郡苫前町,北海道,苫前郡,苫前町,1.0,1.0,2.0,4.0,5.0,7.0,7.0,7.0,10.0,12.0
北海道苫前郡羽幌町,北海道,苫前郡,羽幌町,8.0,13.0,14.0,16.0,16.0,17.0,18.0,20.0,22.0,22.0
北海道苫前郡初山別村,北海道,苫前郡,初山別村,0.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
北海道天塩郡遠別町,北海道,天塩郡,遠別町,9.0,14.0,15.0,18.0,19.0,19.0,19.0,19.0,19.0,20.0
北海道天塩郡天塩町,北海道,天塩郡,天塩町,6.0,12.0,13.0,15.0,16.0,16.0,17.0,18.0,18.0,18.0
北海道宗谷郡猿払村,北海道,宗谷郡,猿払村,7.0,7.0,7.0,8.0,8.0,8.0,9.0,11.0,13.0,15.0
北海道枝幸郡浜頓別町,北海道,枝幸郡,浜頓別町,6.0,6.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0
北海道枝幸郡中頓別町,北海道,枝幸郡,中頓別町,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0
北海道枝幸郡枝幸町,北海道,枝幸郡,枝幸町,8.0,10.0,10.0,15.0,19.0,20.0,22.0,23.0,26.0,31.0
北海道天塩郡豊富町,北海道,天塩郡,豊富町,11.0,13.0,17.0,18.0,18.0,22.0,27.0,27.0,29.0,29.0
北海道礼文郡礼文町,北海道,礼文郡,礼文町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
北海道利尻郡利尻町,北海道,利尻郡,利尻町,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
北海道利尻郡利尻富士町,北海道,利尻郡,利尻富士町,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
北海道天塩郡幌延町,北海道,天塩郡,幌延町,24.0,30.0,32.0,34.0,35.0,38.0,38.0,39.0,40.0,40.0
北海道網走郡美幌町,北海道,網走郡,美幌町,90.0,129.0,165.0,207.0,216.0,223.0,228.0,239.0,247.0,267.0
北海道網走郡津別町,北海道,網走郡,津別町,37.0,44.0,49.0,50.0,53.0,58.0,60.0,63.0,65.0,73.0
北海道斜里郡斜里町,北海道,斜里郡,斜里町,66.0,87.0,101.0,114.0,123.0,129.0,132.0,136.0,149.0,167.0
北海道斜里郡清里町,北海道,斜里郡,清里町,71.0,77.0,81.0,84.0,84.0,85.0,87.0,88.0,96.0,104.0
北海道斜里郡小清水町,北海道,斜里郡,小清水町,139.0,146.0,149.0,156.0,158.0,160.0,163.0,167.0,171.0,177.0
北海道常呂郡訓子府町,北海道,常呂郡,訓子府町,52.0,81.0,110.0,115.0,119.0,121.0,124.0,127.0,132.0,137.0
北海道常呂郡置戸町,北海道,常呂郡,置戸町,38.0,45.0,55.0,55.0,55.0,57.0,60.0,71.0,76.0,80.0
北海道常呂郡佐呂間町,北海道,常呂郡,佐呂間町,106.0,109.0,113.0,117.0,118.0,119.0,120.0,122.0,130.0,133.0
北海道紋別郡遠軽町,北海道,紋別郡,遠軽町,165.0,183.0,194.0,201.0,204.0,211.0,215.0,222.0,231.0,240.0
北海道紋別郡湧別町,北海道,紋別郡,湧別町,157.0,182.0,189.0,191.0,196.0,200.0,206.0,211.0,213.0,222.0
北海道紋別郡滝上町,北海道,紋別郡,滝上町,5.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0
北海道紋別郡興部町,北海道,紋別郡,興部町,16.0,18.0,19.0,22.0,24.0,26.0,27.0,28.0,28.0,28.0
北海道紋別郡西興部村,北海道,紋別郡,西興部村,4.0,5.0,7.0,10.0,11.0,12.0,12.0,12.0,13.0,13.0
北海道紋別郡雄武町,北海道,紋別郡,雄武町,12.0,13.0,20.0,27.0,29.0,37.0,41.0,43.0,46.0,48.0
北海道網走郡大空町,北海道,網走郡,大空町,82.0,104.0,120.0,131.0,136.0,145.0,152.0,164.0,180.0,208.0
北海道虻田郡豊浦町,北海道,虻田郡,豊浦町,8.0,9.0,12.0,14.0,14.0,16.0,17.0,21.0,25.0,29.0
北海道有珠郡壮瞥町,北海道,有珠郡,壮瞥町,10.0,14.0,14.0,15.0,16.0,16.0,16.0,17.0,19.0,20.0
北海道白老郡白老町,北海道,白老郡,白老町,52.0,62.0,69.0,74.0,80.0,83.0,85.0,87.0,94.0,125.0
北海道勇払郡厚真町,北海道,勇払郡,厚真町,49.0,56.0,67.0,73.0,73.0,78.0,86.0,91.0,98.0,108.0
北海道虻田郡洞爺湖町,北海道,虻田郡,洞爺湖町,35.0,37.0,39.0,40.0,42.0,43.0,47.0,53.0,58.0,60.0
北海道勇払郡安平町,北海道,勇払郡,安平町,59.0,67.0,92.0,102.0,104.0,106.0,112.0,116.0,124.0,134.0
北海道勇払郡むかわ町,北海道,勇払郡,むかわ町,82.0,93.0,100.0,103.0,108.0,111.0,118.0,123.0,131.0,142.0
北海道沙流郡日高町,北海道,沙流郡,日高町,55.0,62.0,66.0,69.0,72.0,78.0,81.0,83.0,91.0,107.0
北海道沙流郡平取町,北海道,沙流郡,平取町,31.0,33.0,35.0,38.0,39.0,42.0,46.0,52.0,63.0,69.0
北海道新冠郡新冠町,北海道,新冠郡,新冠町,32.0,37.0,39.0,40.0,44.0,44.0,46.0,47.0,48.0,51.0
北海道浦河郡浦河町,北海道,浦河郡,浦河町,38.0,46.0,49.0,58.0,61.0,67.0,71.0,76.0,81.0,86.0
北海道様似郡様似町,北海道,様似郡,様似町,17.0,21.0,24.0,27.0,29.0,29.0,30.0,33.0,35.0,45.0
北海道幌泉郡えりも町,北海道,幌泉郡,えりも町,14.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0,24.0,30.0
北海道日高郡新ひだか町,北海道,日高郡,新ひだか町,107.0,115.0,123.0,137.0,148.0,152.0,154.0,167.0,180.0,196.0
北海道河東郡音更町,北海道,河東郡,音更町,804.0,916.0,1000.0,1048.0,1074.0,1117.0,1148.0,1180.0,1234.0,1292.0
北海道河東郡士幌町,北海道,河東郡,士幌町,91.0,103.0,121.0,129.0,146.0,151.0,153.0,157.0,161.0,167.0
北海道河東郡上士幌町,北海道,河東郡,上士幌町,68.0,77.0,92.0,104.0,110.0,115.0,122.0,127.0,129.0,130.0
北海道河東郡鹿追町,北海道,河東郡,鹿追町,55.0,102.0,119.0,126.0,134.0,144.0,149.0,156.0,166.0,190.0
北海道上川郡新得町,北海道,上川郡,新得町,32.0,41.0,42.0,44.0,46.0,50.0,54.0,58.0,67.0,72.0
北海道上川郡清水町,北海道,上川郡,清水町,83.0,101.0,117.0,125.0,140.0,149.0,152.0,161.0,174.0,179.0
北海道河西郡芽室町,北海道,河西郡,芽室町,346.0,402.0,432.0,450.0,474.0,504.0,530.0,549.0,580.0,620.0
北海道河西郡中札内村,北海道,河西郡,中札内村,56.0,61.0,65.0,67.0,72.0,79.0,83.0,87.0,92.0,95.0
北海道河西郡更別村,北海道,河西郡,更別村,78.0,80.0,84.0,92.0,94.0,101.0,110.0,112.0,118.0,131.0
北海道広尾郡大樹町,北海道,広尾郡,大樹町,55.0,69.0,74.0,79.0,79.0,85.0,88.0,92.0,95.0,102.0
北海道広尾郡広尾町,北海道,広尾郡,広尾町,29.0,32.0,37.0,39.0,42.0,47.0,50.0,50.0,53.0,55.0
北海道中川郡幕別町,北海道,中川郡,幕別町,374.0,416.0,468.0,502.0,524.0,557.0,579.0,606.0,637.0,677.0
北海道中川郡池田町,北海道,中川郡,池田町,84.0,97.0,105.0,111.0,113.0,117.0,123.0,127.0,136.0,143.0
北海道中川郡豊頃町,北海道,中川郡,豊頃町,45.0,53.0,56.0,56.0,58.0,58.0,60.0,64.0,67.0,73.0
北海道中川郡本別町,北海道,中川郡,本別町,70.0,87.0,94.0,101.0,107.0,109.0,110.0,116.0,122.0,128.0
北海道足寄郡足寄町,北海道,足寄郡,足寄町,62.0,79.0,100.0,121.0,128.0,132.0,140.0,151.0,154.0,160.0
北海道足寄郡陸別町,北海道,足寄郡,陸別町,19.0,24.0,24.0,27.0,35.0,38.0,46.0,46.0,46.0,47.0
北海道十勝郡浦幌町,北海道,十勝郡,浦幌町,62.0,73.0,78.0,81.0,81.0,82.0,84.0,86.0,89.0,91.0
北海道釧路郡釧路町,北海道,釧路郡,釧路町,114.0,159.0,180.0,201.0,217.0,235.0,243.0,257.0,277.0,289.0
北海道厚岸郡厚岸町,北海道,厚岸郡,厚岸町,62.0,78.0,90.0,95.0,98.0,106.0,110.0,113.0,117.0,128.0
北海道厚岸郡浜中町,北海道,厚岸郡,浜中町,45.0,66.0,113.0,132.0,138.0,145.0,155.0,158.0,165.0,169.0
北海道川上郡標茶町,北海道,川上郡,標茶町,69.0,108.0,152.0,164.0,174.0,185.0,187.0,191.0,197.0,209.0
北海道川上郡弟子屈町,北海道,川上郡,弟子屈町,70.0,75.0,87.0,91.0,96.0,101.0,103.0,106.0,111.0,121.0
北海道阿寒郡鶴居村,北海道,阿寒郡,鶴居村,37.0,46.0,47.0,49.0,52.0,54.0,63.0,69.0,74.0,85.0
北海道白糠郡白糠町,北海道,白糠郡,白糠町,40.0,50.0,60.0,64.0,66.0,69.0,73.0,81.0,97.0,123.0
北海道野付郡別海町,北海道,野付郡,別海町,254.0,271.0,353.0,419.0,460.0,490.0,503.0,508.0,518.0,530.0
北海道標津郡中標津町,北海道,標津郡,中標津町,165.0,219.0,246.0,257.0,275.0,321.0,348.0,368.0,397.0,440.0
北海道標津郡標津町,北海道,標津郡,標津町,28.0,31.0,36.0,41.0,42.0,46.0,48.0,55.0,62.0,69.0
北海道目梨郡羅臼町,北海道,目梨郡,羅臼町,6.0,6.0,6.0,7.0,8.0,11.0,12.0,12.0,13.0,19.0
北海道市町村不明,北海道,,市町村不明,927.0,926.0,921.0,921.0,921.0,902.0,873.0,846.0,834.0,811.0
青森県青森市,青森県,,青森市,747.0,808.0,882.0,945.0,1043.0,1207.0,1370.0,1534.0,1710.0,1872.0
青森県弘前市,青森県,,弘前市,658.0,730.0,781.0,818.0,899.0,985.0,1072.0,1153.0,1243.0,1343.0
青森県八戸市,青森県,,八戸市,2749.0,3023.0,3334.0,3583.0,3801.0,4114.0,4335.0,4565.0,4842.0,5096.0
青森県黒石市,青森県,,黒石市,144.0,154.0,168.0,181.0,198.0,221.0,245.0,268.0,290.0,314.0
青森県五所川原市,青森県,,五所川原市,156.0,167.0,176.0,190.0,210.0,228.0,250.0,273.0,298.0,324.0
青森県十和田市,青森県,,十和田市,488.0,562.0,637.0,690.0,728.0,788.0,827.0,884.0,938.0,1018.0
青森県三沢市,青森県,,三沢市,303.0,329.0,380.0,407.0,432.0,472.0,498.0,534.0,585.0,620.0
青森県むつ市,青森県,,むつ市,217.0,262.0,285.0,308.0,337.0,369.0,404.0,431.0,466.0,483.0
青森県つがる市,青森県,,つがる市,77.0,80.0,91.0,102.0,106.0,114.0,128.0,134.0,144.0,152.0
青森県平川市,青森県,,平川市,148.0,174.0,196.0,203.0,217.0,236.0,251.0,274.0,322.0,352.0
青森県東津軽郡平内町,青森県,東津軽郡,平内町,31.0,35.0,41.0,45.0,49.0,56.0,59.0,69.0,77.0,84.0
青森県東津軽郡今別町,青森県,東津軽郡,今別町,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
青森県東津軽郡蓬田村,青森県,東津軽郡,蓬田村,3.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,9.0,9.0
青森県東津軽郡外ヶ浜町,青森県,東津軽郡,外ヶ浜町,11.0,12.0,14.0,15.0,16.0,16.0,21.0,22.0,23.0,26.0
青森県西津軽郡鰺ヶ沢町,青森県,西津軽郡,鰺ヶ沢町,17.0,18.0,23.0,23.0,23.0,25.0,31.0,32.0,34.0,40.0
青森県西津軽郡深浦町,青森県,西津軽郡,深浦町,15.0,15.0,16.0,16.0,16.0,18.0,18.0,18.0,19.0,19.0
青森県中津軽郡西目屋村,青森県,中津軽郡,西目屋村,3.0,3.0,4.0,4.0,4.0,7.0,10.0,10.0,11.0,13.0
青森県南津軽郡藤崎町,青森県,南津軽郡,藤崎町,51.0,55.0,65.0,69.0,81.0,94.0,102.0,114.0,129.0,144.0
青森県南津軽郡大鰐町,青森県,南津軽郡,大鰐町,22.0,26.0,28.0,32.0,38.0,41.0,44.0,46.0,48.0,52.0
青森県南津軽郡田舎館村,青森県,南津軽郡,田舎館村,37.0,41.0,51.0,55.0,62.0,69.0,76.0,85.0,91.0,92.0
青森県北津軽郡板柳町,青森県,北津軽郡,板柳町,56.0,60.0,67.0,72.0,74.0,88.0,98.0,103.0,110.0,117.0
青森県北津軽郡鶴田町,青森県,北津軽郡,鶴田町,29.0,36.0,39.0,40.0,43.0,51.0,53.0,56.0,65.0,68.0
青森県北津軽郡中泊町,青森県,北津軽郡,中泊町,15.0,16.0,22.0,24.0,24.0,24.0,27.0,27.0,27.0,30.0
青森県上北郡野辺地町,青森県,上北郡,野辺地町,53.0,61.0,67.0,73.0,80.0,91.0,95.0,104.0,110.0,114.0
青森県上北郡七戸町,青森県,上北郡,七戸町,134.0,152.0,166.0,179.0,194.0,205.0,215.0,224.0,238.0,247.0
青森県上北郡六戸町,青森県,上北郡,六戸町,177.0,210.0,240.0,255.0,280.0,301.0,311.0,327.0,354.0,377.0
青森県上北郡横浜町,青森県,上北郡,横浜町,14.0,19.0,25.0,27.0,28.0,31.0,33.0,33.0,39.0,44.0
青森県上北郡東北町,青森県,上北郡,東北町,113.0,129.0,140.0,153.0,168.0,178.0,189.0,204.0,220.0,231.0
