,静岡市,浜松市,名古屋市,岡山市,広島市,札幌市,京都市,大阪市,堺市,神戸市,北九州市,福岡市,熊本市,仙台市,新潟市,さいたま市,千葉市,横浜市,川崎市,相模原市,特別区部
2022-04-01 00:00:00,101.49639626904596,130.30119315538897,303.894762065878,94.3202731126245,149.59269300887777,343.4447524486492,238.27782616321338,580.727608212272,176.46351484908672,230.97483669197672,190.9868812898732,227.43590938230147,110.9631422524658,187.07014538699926,114.07451602625176,173.00733753827154,117.10756880336784,493.97473778053916,329.918252398383,108.45399032413019,1512.9486641769668
2022-04-01 01:00:00,99.46294583109537,127.69064708649253,297.8063199169008,95.11478804859124,150.85279992953014,359.5453588039283,232.67712201865572,567.0776451647424,172.31575189987498,225.54578881966992,190.38424059161434,226.71825728853668,110.61300875074885,192.35763786842068,117.29880467243203,167.12413033056438,113.12526318174284,477.1768621581088,318.6992054603597,104.7659542751483,1461.5000342365875
2022-04-01 02:00:00,101.07209361860745,129.75647291266648,302.62433909778434,99.9467360265115,158.5163073245182,371.4639894825115,242.26258943983305,590.4392212657601,179.41454619327996,234.8374707519458,201.2568831893681,239.665897146877,116.93000067755897,199.20683698992445,121.47541485967824,167.94504296419794,113.68093373359748,479.5207517798433,320.2646538703164,105.28056395640158,1468.6789128329194
2022-04-01 03:00:00,103.0174812423161,132.2539638368469,308.4491085552704,106.87036618279319,169.49723906163197,384.219015296434,251.05844939144984,611.8763763469623,185.92857390696005,243.36374593501122,216.6744410531575,258.025829879027,125.88758276315112,204.8959111787956,124.94458618784688,171.5023310432767,116.088839458301,489.6776068073594,327.0482636467957,107.5105392418325,1499.7873867503583
2022-04-01 04:00:00,103.35372107851265,132.6856289348534,309.45585883187294,109.0755504948642,172.9946786781366,391.2238245548996,252.28876800681167,614.8748928196982,186.83972183350818,244.55635645122288,223.85590937407568,266.5778506630578,130.06000699194487,209.9826128064922,128.046433493033,175.7437129837167,118.95980397621669,501.78770318632075,335.1364137649055,110.16935592830781,1536.8782594980735
2022-04-01 05:00:00,104.91483460371094,134.689788318455,314.1300565446704,110.16192806036975,174.7176820186205,387.46004644587333,253.33545697808967,617.4258695203841,187.61487753221334,245.5709653978507,223.2281586467227,265.8302963987195,129.69528459432303,216.07326870281307,131.76048750319,185.86830213186389,125.81307411575739,530.6956751877125,354.4436108210386,116.51620866376501,1625.417762186168
2022-04-01 06:00:00,110.22262058938514,141.50393022270035,330.02232876818175,112.6427604114496,178.6523015871882,394.04665813666935,266.5935172809442,649.7382410624048,197.43351638247847,258.42267872180315,221.72155690107553,264.0361661643074,128.81995084003063,219.0405113189694,133.56989843121522,204.7492927054356,138.59349680841436,584.6051364876053,390.4489242500436,128.3522313325906,1790.5319699018037
2022-04-01 07:00:00,118.83676496432547,152.5627789240096,355.81431204495135,111.32937857852498,176.5692676979465,379.9324902278207,288.4270819625148,702.9507199591674,213.60299227301212,279.58706534532047,214.64052869653383,255.60375406257077,124.7058821948564,217.188773445729,132.44071717537994,224.72483345718544,152.1148135702109,641.6397839498106,428.54150222565767,140.87440024308725,1965.2180157458822
2022-04-01 08:00:00,134.23975174628197,172.33715150887855,401.93306281121966,110.6645803667977,175.5148925194414,397.6013374618608,312.5009283019085,761.6231840749417,231.43157334323038,302.92307111776046,210.3969337796276,250.55028723564348,122.24035878693282,233.07356098485167,142.12718770736458,249.28380308005595,168.73862424652924,711.7611484667002,475.37450049019685,156.2698065405814,2179.986133752814
2022-04-01 09:00:00,142.47762773309756,182.91294641003762,426.5984445879816,112.09146433343186,177.77794168306204,411.2973078030398,322.76582540619614,786.640657332545,239.03353887965451,312.8733588574965,215.9211401803339,257.128764761821,125.44991588600493,242.42149073048708,147.82751236031623,264.4706868022767,179.0185294558403,755.1231064687879,504.3352960743965,165.79008564376724,2312.7953877849563
2022-04-01 10:00:00,139.09121223997514,178.56546220868654,416.4590310879133,111.88067465654272,177.44362760207264,394.77850388009114,322.39856611802844,785.7455777884447,238.7615544239685,312.5173557183289,223.32859876309917,265.9499050810136,129.75364017794251,237.08937805934897,144.57601452724836,259.9556673172921,175.9623414206397,742.2317135492482,495.7253298196344,162.95973239687413,2273.31155550513
2022-04-01 11:00:00,137.6021501082475,176.65380248894348,412.0005655772449,112.98326681257822,179.19234741032494,399.58777590829135,321.5538697552427,783.686894837014,238.13599017589067,311.69854849824327,225.61361141066405,268.67100260320524,131.08122970528598,234.83605847865883,143.20195058942468,257.08247309957466,174.0174944891484,734.0280998731776,490.2462603847858,161.15859851248763,2248.185480417968
2022-04-01 12:00:00,128.5476916620974,165.0296780640543,384.8902188430196,108.7999024558553,172.5574987260735,373.13677975318996,306.6431426556335,747.3466653465421,227.09342127503848,297.24482104803633,218.78368349706352,260.5376122072039,127.11305001916047,220.49066748476014,134.45419700506216,248.53129983255852,168.22925957399582,709.6125829801102,473.9395061144031,155.79808099943259,2173.40549503951
2022-04-01 13:00:00,131.9180957344486,169.35660678454798,394.9816918537259,112.02660597131212,177.67507581198836,381.7098298904165,313.8781506325375,764.9797323653179,232.45151505205297,304.2580828896392,221.5708967265108,263.8567531408662,128.7324174646014,228.85695305662952,139.55591954648665,251.26767527800368,170.08149474684464,717.4255483858918,479.15766748092557,157.5134466036102,2197.3350903606165
2022-04-01 14:00:00,130.00473095228247,166.90022682208243,389.25280337496395,108.10267506306816,171.45169061203163,382.8598732015078,308.1489057371211,751.0164914773533,228.2085575433511,298.7044339186237,214.59030863834556,255.54394972142367,124.67670440304664,225.39888835359017,137.44720756269786,243.74264280302947,164.98784802151036,695.9398935199926,464.80772372298884,152.79619119212174,2131.5287032275733
